koi_period,koi_duration,koi_depth,koi_prad,koi_impact,koi_model_snr,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_disposition,kepid
19.89913995,1.7822,10829.0,14.6,0.969,76.3,638.0,39.3,5853.0,4.544,0.868,CANDIDATE,10811496
40.4195037,3.362,6256.0,7.51,0.911,36.9,467.0,11.29,5446.0,4.507,0.781,CANDIDATE,11818800
7.2406612,0.558,556.4,19.45,1.198,13.7,734.0,68.63,5005.0,4.595,0.765,CANDIDATE,11918099
3.43591631,3.133,23.2,0.55,0.624,8.7,1272.0,617.61,5779.0,4.339,1.087,CANDIDATE,9579641
10.181584004,3.5089,5741.1,7.73,0.92,183.6,812.0,102.91,5988.0,4.541,0.836,CANDIDATE,3115833
19.620346923,2.0038,21724.6,13.6,0.458,340.5,643.0,40.39,5710.0,4.492,0.905,CANDIDATE,3453214
34.84398644,2.9315,4523.6,7.61,0.934,76.8,511.0,16.1,5509.0,4.482,0.871,CANDIDATE,4544670
4.64090031,35.512,2450.6,30.09,1.28,296.9,1155.0,421.08,6463.0,4.5,0.826,CANDIDATE,4936180
1.028436523,1.8606,8098.0,72.77,1.5734,89.6,1947.0,3400.48,6228.0,4.428,0.99,CANDIDATE,5115978
235.9986399,8.2284,20714.6,10.59,0.778,271.8,188.0,0.29,4245.0,4.627,0.657,CANDIDATE,6867155
39.74893077,7.3051,15178.9,14.21,0.881,561.1,552.0,21.87,6122.0,4.487,0.964,CANDIDATE,6526710
13.61014819,2.594,5732.9,19.02,1.081,184.1,733.0,68.29,5697.0,4.46,0.903,CANDIDATE,6599919
119.0207044,8.1405,7430.5,8.98,0.076,223.5,366.0,4.25,5453.0,4.342,1.062,CANDIDATE,6862328
12.940668656,2.4845,42450.0,22.94,0.897,307.5,723.0,64.64,5875.0,4.572,0.809,CANDIDATE,7031517
2.688899233,2.11275,37491.6,12.04,0.001,1011.6,929.0,175.76,4820.0,4.667,0.639,CANDIDATE,7380537
12.732624065,2.2083,6465.7,4.87,0.811,210.5,432.0,8.22,3950.0,4.721,0.541,CANDIDATE,8013419
83.92494032,6.7904,7958.7,4.78,0.658,182.1,226.0,0.62,3960.0,4.746,0.509,CANDIDATE,8018547
3.886655224,3.1646,581.6,1.87,0.649,48.1,1010.0,246.29,5662.0,4.61,0.738,CANDIDATE,8552202
2.494170338,1.1221,863.7,2.42,0.095,69.2,1194.0,480.19,5569.0,4.566,0.829,CANDIDATE,9140402
39.4759093,2.968,1012.6,4.06,0.938,26.6,577.0,26.13,6225.0,4.45,1.031,CANDIDATE,8951215
9.61731426,3.8692,234.0,1.94,0.331,18.2,1010.0,246.13,6035.0,4.22,1.257,CANDIDATE,9347899
90.1240507,11.649,3020.3,7.12,0.698,57.9,485.0,13.09,6520.0,4.375,1.215,CANDIDATE,2860866
856.672115,23.144,858.1,3.87,0.1158,39.2,242.0,0.81,6449.0,4.232,1.309,CANDIDATE,10460629
0.689210173,1.6169,195.0,1.32,0.154,93.4,1943.0,3362.71,5630.0,4.505,0.954,CANDIDATE,10319385
3.9886021,1.7376,673.5,34.39,0.06,37.1,3145.0,23135.72,4813.0,2.472,13.652,CANDIDATE,11502218
0.533059312,1.8621,1495.8,133.56,1.263,179.6,5862.0,277887.7,8523.0,3.559,4.051,CANDIDATE,11180361
129995.7784,9.408,1474.9,2.99,0.7127,35.7,25.0,0.0,4500.0,4.572,0.726,CANDIDATE,10287723
7.82187328,3.8417,42.2,2.78,0.005,37.2,2101.0,4601.71,7221.0,3.488,4.24,CANDIDATE,11013201
53.5057611,10.5616,195.6,2.52,0.46,71.2,675.0,49.16,6247.0,4.016,1.762,CANDIDATE,9414417
13.4471791,3.0454,1428.2,5.24,0.963,105.3,848.0,122.34,6276.0,4.405,1.041,CANDIDATE,2307199
7.37290344,2.172,205.2,2.67,0.993,19.1,1004.0,240.11,5973.0,4.371,1.07,CANDIDATE,2853446
119.0624882,3.1188,5372.3,10.4,0.968,71.6,366.0,4.26,5697.0,4.392,0.92,CANDIDATE,3942446
14.8623076,3.161,840.0,1.57,0.324,14.4,454.0,10.08,4362.0,4.722,0.554,CANDIDATE,3554031
16.15811112,6.049,2319.8,86.13,1.8572,52.8,660.0,44.83,5619.0,4.536,0.874,CANDIDATE,10743597
1295.362215,28.297,8708.0,57.82,1.3935,164.0,169.0,0.19,5609.0,4.346,1.048,CANDIDATE,3644071
4.2989201,2.747,237.6,2.12,0.972,20.0,1046.0,283.62,5300.0,4.385,0.986,CANDIDATE,1431122
5.714817603,3.14126,12294.8,9.29,0.096,537.7,943.0,187.27,5695.0,4.526,0.842,CANDIDATE,8260218
2.83668931,3.031,166.1,1.19,0.33,12.1,1242.0,562.48,5831.0,4.517,0.921,CANDIDATE,6359320
1.00861677,0.91,,,,,,,,,,CANDIDATE,3447722
2.624234833,1.3874,2607.0,5.11,0.781,361.1,1164.0,434.31,5340.0,4.514,0.899,CANDIDATE,12105051
92.77779,6.64,359.0,1.92,0.0174,5.2,410.0,6.7,5888.0,4.444,1.019,CANDIDATE,8240904
422.917678,31.274,1367.7,5.89,0.7887,61.7,292.0,1.73,5796.0,4.12,1.444,CANDIDATE,3756801
30.5872153,5.3698,464.8,2.32,0.013,33.1,621.0,35.08,5944.0,4.38,1.082,CANDIDATE,8313667
9.95639775,5.615,510.5,28.15,1.222,32.9,905.0,158.42,6161.0,4.454,1.053,CANDIDATE,10149023
31.201692472,2.15663,34513.7,8.31,0.001,607.4,286.0,1.59,3748.0,4.796,0.449,CANDIDATE,9772531
6.810823723,7.98574,14446.8,26.06,0.57,1441.9,1626.0,1656.16,7226.0,3.967,2.079,CANDIDATE,10295951
51.59809554,2.0153,5869.2,6.57,0.251,79.7,449.0,9.61,5681.0,4.551,0.859,CANDIDATE,3329204
1500.0,7.109,9592.0,9.8,0.9243,62.5,139.0,0.09,5606.0,4.597,0.76,CANDIDATE,3230491
1500.1406772,25.727,4129.9,18.35,0.9131,83.3,206.0,0.42,5009.0,3.755,2.283,CANDIDATE,2162635
20.51360192,3.4769,1174.1,2.58,0.703,32.3,540.0,20.15,5310.0,4.608,0.704,CANDIDATE,6837146
0.783276173,1.6735,264.7,1.98,0.041,46.9,2149.0,5056.88,5640.0,4.247,1.233,CANDIDATE,6607286
3.17405898,2.3156,282.2,2.09,0.422,29.2,1348.0,780.46,5640.0,4.247,1.233,CANDIDATE,6607286
345.1589354,7.5646,5087.9,7.79,0.87,197.9,241.0,0.8,5597.0,4.515,0.931,CANDIDATE,11075279
99.6442783,5.1772,3215.6,8.48,0.966,163.2,415.0,6.98,6102.0,4.447,1.016,CANDIDATE,6607447
19.03723442,3.3882,401.3,5.74,0.033,25.3,1051.0,288.04,5248.0,3.523,2.892,CANDIDATE,6441738
0.576078683,1.63253,10084.8,23.23,1.113,426.0,1982.0,3647.63,5693.0,4.57,0.816,CANDIDATE,8616873
78.9257421,7.5193,17972.0,11.9,0.359,85.2,398.0,5.94,5750.0,4.538,0.882,CANDIDATE,8494263
6.84639884,3.4919,149.7,1.9,0.9,36.3,1132.0,387.84,6065.0,4.251,1.31,CANDIDATE,10928043
12.37679312,3.85,,,,,,,,,,CANDIDATE,10794087
268.9410974,5.4434,9010.2,13.57,0.765,120.4,321.0,2.52,5798.0,4.224,1.306,CANDIDATE,8813698
80.9669561,2.5276,4733.0,5.04,0.007,52.0,364.0,4.14,5611.0,4.61,0.737,CANDIDATE,4074736
6.80082032,1.9883,699.9,1.88,0.597,25.5,697.0,55.83,4805.0,4.633,0.688,CANDIDATE,4274548
54.325574,9.86,44.2,0.76,0.154,7.7,545.0,20.85,6343.0,4.411,1.137,CANDIDATE,11336883
20.01959599,7.0,,,,,,,,,,CANDIDATE,11336883
162.0479502,9.8974,4840.5,11.52,0.663,370.2,437.0,8.65,6309.0,4.16,1.567,CANDIDATE,8631160
1.694740233,1.6864,1446.8,2.12,0.671,92.3,797.0,95.14,3764.0,4.739,0.527,CANDIDATE,9202151
15.068060768,3.3011,19387.0,16.43,0.88,282.8,742.0,71.78,5982.0,4.493,0.96,CANDIDATE,4760746
6.247030799,1.4848,1496.6,1.89,0.039,44.8,512.0,16.23,3821.0,4.764,0.487,CANDIDATE,9427402
700.00298217,7.6525,3245.9,6.43,0.143,60.3,238.0,0.76,6487.0,4.397,1.118,CANDIDATE,3962440
272.0868353,2.7145,5572.0,5.95,0.3629,21.5,251.0,0.93,5587.0,4.548,0.791,CANDIDATE,3534076
42.0370662,6.282,266.8,1.66,0.672,14.7,527.0,18.16,5823.0,4.427,0.96,CANDIDATE,4466677
21.0112068,4.507,163.6,1.4,0.853,10.2,663.0,45.79,5823.0,4.427,0.96,CANDIDATE,4466677
8.75059775,2.8288,881.9,2.27,0.33,28.3,682.0,51.0,4942.0,4.599,0.779,CANDIDATE,9100484
1.714274727,2.06728,28460.1,25.0,1.182,987.2,827.0,110.02,3874.0,4.715,0.535,CANDIDATE,6620003
384.02570682,14.56,,,,,,,,,,CANDIDATE,7363829
3.014330766,2.4747,975.3,2.87,0.01,57.3,1124.0,377.79,5209.0,4.446,0.953,CANDIDATE,6719086
13.35151248,3.6045,3308.8,4.44,0.573,107.9,585.0,27.77,4843.0,4.562,0.754,CANDIDATE,11026304
1693.6636225,22.604,9515.3,10.23,0.5283,122.8,157.0,0.14,5923.0,4.445,1.021,CANDIDATE,11342550
104.8205868,4.4794,3920.1,6.45,0.918,76.6,376.0,4.74,5986.0,4.527,0.85,CANDIDATE,6946199
34.2966363,19.718,696.6,3.29,0.711,66.7,584.0,27.6,5490.0,4.263,1.167,CANDIDATE,10867062
31.56904354,2.6364,4229.4,11.18,0.985,113.6,575.0,25.83,5654.0,4.387,0.998,CANDIDATE,8046659
0.840594032,1.404,49.8,0.62,0.018,11.6,1780.0,2368.31,5440.0,4.438,0.885,CANDIDATE,7841925
20.6654374,3.172,100.4,0.66,0.05,13.6,487.0,13.35,4830.0,4.605,0.676,CANDIDATE,4276716
69.8347983,8.262,266.6,3.51,0.672,46.8,765.0,80.97,7732.0,4.075,2.022,CANDIDATE,7287683
2.59488443,1.684,592.2,2.36,0.885,14.9,1014.0,249.92,4748.0,4.526,0.797,CANDIDATE,8266276
19.18109525,2.424,865.4,1.72,0.007,17.6,513.0,16.42,5214.0,4.673,0.587,CANDIDATE,8396405
220.65651253,7.82,,,,,,,,,,CANDIDATE,7199906
11.30507984,3.989,278.4,1.4,0.195,19.5,744.0,72.67,5705.0,4.556,0.844,CANDIDATE,9017682
9.9824036,1.09,83.9,1.17,0.8093,5.4,966.0,205.65,6273.0,4.364,1.139,CANDIDATE,10749128
12.681733929,1.6866,5879.1,7.25,0.929,102.8,601.0,30.84,4976.0,4.577,0.701,CANDIDATE,11904734
83.09708021,9.2639,15860.2,13.83,0.993,277.2,329.0,2.78,5286.0,4.627,0.636,CANDIDATE,10153011
0.839961456,1.3008,492.9,1.63,0.548,35.1,1455.0,1066.37,4932.0,4.618,0.718,CANDIDATE,11870545
7.136922,2.8005,221.6,1.38,0.072,23.7,956.0,197.05,6086.0,4.511,0.921,CANDIDATE,5031857
5.83393857,4.5813,134.4,1.98,0.398,17.6,1285.0,642.83,5597.0,3.963,1.699,CANDIDATE,10028792
6.33027476,3.67,89.2,1.02,0.3288,9.8,1046.0,283.31,5900.0,4.363,1.07,CANDIDATE,11153121
5.59728249,1.795,1407.3,3.28,0.473,30.8,930.0,176.53,5610.0,4.551,0.858,CANDIDATE,6705142
23.3397956,1.923,125.1,1.23,0.4757,4.5,653.0,43.02,5671.0,4.36,1.084,CANDIDATE,5299459
51.3901452,5.995,494.0,3.62,0.946,15.4,570.0,24.98,6074.0,4.284,1.292,CANDIDATE,4471747
186.4361811,5.774,4347.0,11.32,0.921,66.5,353.0,3.66,5393.0,4.132,1.37,CANDIDATE,4918309
35.6364022,4.888,452.6,1.99,0.654,15.7,537.0,19.62,5926.0,4.532,0.887,CANDIDATE,4830605
8.98128472,5.0397,4924.0,7.19,0.294,76.6,898.0,153.36,5977.0,4.473,1.022,CANDIDATE,12120943
192.667139,5.443,1148.3,3.64,0.911,26.0,283.0,1.52,5401.0,4.487,0.878,CANDIDATE,7768451
52.971584,3.4632,3882.6,29.02,1.259,51.4,402.0,6.19,5204.0,4.55,0.789,CANDIDATE,9932970
5.91393977,0.562,84.0,1.07,0.0896,2.8,1112.0,361.0,6194.0,4.415,1.129,CANDIDATE,4932442
14.62399621,2.193,1082.0,21.92,1.209,25.0,681.0,50.91,5753.0,4.57,0.815,CANDIDATE,5360920
9.771462706,1.767,6933.2,10.15,0.946,215.0,799.0,96.39,5812.0,4.551,0.853,CANDIDATE,11702948
281.5628889,8.853,21012.0,10.83,0.0,237.1,214.0,0.49,4810.0,4.536,0.776,CANDIDATE,9512981
8.51170088,2.9,,,,,,,,,,CANDIDATE,5526717
6.93910337,2.977,614.7,1.41,0.966,22.9,445.0,9.28,3638.0,4.844,0.42,CANDIDATE,5531953
10.19154678,6.165,61.3,1.39,0.659,27.6,1144.0,404.17,6212.0,4.049,1.684,CANDIDATE,9872292
12.89006728,3.555,602.5,1.93,0.082,23.6,620.0,34.99,4915.0,4.512,0.812,CANDIDATE,5542466
23.210509958,3.09802,28736.9,21.19,0.954,958.7,595.0,29.69,5875.0,4.572,0.809,CANDIDATE,4178389
4.74666128,2.093,256.8,1.3,0.441,12.5,865.0,132.4,4915.0,4.512,0.812,CANDIDATE,5542466
23.02028478,3.544,5077.8,7.58,0.794,97.2,604.0,31.4,5613.0,4.496,0.956,CANDIDATE,7499398
0.708621057,1.5041,187.5,1.2,0.033,30.5,1846.0,2741.07,5422.0,4.484,0.887,CANDIDATE,5972334
169.4976085,7.77,12192.0,9.06,0.625,82.8,272.0,1.29,5270.0,4.592,0.787,CANDIDATE,7811397
0.917568975,2.0654,15805.0,11.92,0.667,128.1,1748.0,2197.57,5713.0,4.541,0.893,CANDIDATE,5475431
7.79668781,4.6699,361.3,2.44,0.005,48.5,1116.0,366.42,6521.0,4.352,1.276,CANDIDATE,5039228
7.00447892,2.669,231.4,1.19,0.139,9.9,754.0,76.26,4883.0,4.515,0.808,CANDIDATE,7512982
