koi_period,koi_duration,koi_depth,koi_prad,koi_impact,koi_model_snr,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,target,koi_disposition,kepid
9.48803557,2.9575,615.8,2.26,0.146,35.8,793.0,93.59,5455.0,4.467,0.927,1,CONFIRMED,10797460
54.4183827,4.507,874.8,2.83,0.586,25.8,443.0,9.11,5455.0,4.467,0.927,1,CONFIRMED,10797460
1.736952453,2.40641,8079.2,33.46,1.276,505.6,1395.0,891.96,5805.0,4.564,0.791,0,FALSE POSITIVE,10848459
2.525591777,1.6545,603.3,2.75,0.701,40.9,1406.0,926.16,6031.0,4.438,1.046,1,CONFIRMED,10854555
11.09432054,4.5945,1517.5,3.9,0.538,66.5,835.0,114.81,6046.0,4.486,0.972,1,CONFIRMED,10872983
4.13443512,3.1402,686.0,2.77,0.762,40.2,1160.0,427.65,6046.0,4.486,0.972,1,CONFIRMED,10872983
2.56658897,2.429,226.5,1.59,0.755,15.0,1360.0,807.74,6046.0,4.486,0.972,1,CONFIRMED,10872983
7.36178958,5.022,233.7,39.21,1.169,47.7,1342.0,767.22,6227.0,3.986,1.958,0,FALSE POSITIVE,6721123
16.06864674,3.5347,4914.3,5.76,0.052,161.9,600.0,30.75,5031.0,4.485,0.848,1,CONFIRMED,10910878
2.470613377,1.74319,14230.9,13.04,0.818,4304.3,1339.0,761.46,5820.0,4.457,0.964,1,CONFIRMED,11446443
2.204735417,3.88864,6674.7,16.1,0.224,5945.9,2048.0,4148.92,6440.0,4.019,1.952,1,CONFIRMED,10666592
3.522498429,3.19843,9145.7,14.59,0.631,1741.5,1521.0,1264.67,6225.0,4.169,1.451,1,CONFIRMED,6922244
3.709214104,2.6302,131.1,1.16,0.051,50.6,1206.0,500.46,5833.0,4.407,1.022,1,CONFIRMED,10984090
11.521446064,3.6399,17984.3,150.51,2.483,622.1,753.0,75.88,5795.0,4.554,0.848,0,FALSE POSITIVE,10419211
19.40393776,12.2155,8918.7,7.18,0.804,214.7,523.0,17.69,5043.0,4.591,0.68,0,FALSE POSITIVE,10464078
19.221388942,4.79843,74284.0,49.29,1.065,2317.0,698.0,55.97,6117.0,4.496,0.947,0,FALSE POSITIVE,10480982
16.46983774,9.4378,10478.9,7.94,0.292,303.4,595.0,29.61,5152.0,4.517,0.786,0,FALSE POSITIVE,10485250
9.27358173,3.2875,1288.3,2.47,0.387,87.2,649.0,41.85,4856.0,4.583,0.696,1,CONFIRMED,10526549
6.02930329,1.5821,1912.7,2.85,0.258,65.4,678.0,50.04,4537.0,4.648,0.672,1,CONFIRMED,10583066
