,koi_period,koi_duration,koi_depth,koi_prad,koi_impact,koi_model_snr,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad
koi_period,1.0,0.3122296233714875,-0.05982561155714292,0.07595328745374509,0.0720424141418656,-0.06127154057832411,-0.3759193795446226,-0.023063821893666063,0.0302806823499706,-0.0420079274558143,0.0008980399278019727
koi_duration,0.3122296233714875,1.0,0.06846252547041932,0.04357134741459185,0.04884568703971769,0.08603586536372287,-0.18736383731958378,-0.0200353200192502,0.09740696743614877,-0.12213932928713112,0.010430279621869029
koi_depth,-0.05982561155714292,0.06846252547041932,1.0,0.0026670678279839305,0.004361934668866086,0.5716707911011657,0.06394139319949949,-0.009211057419839543,0.12270907492827673,-0.0110246129052546,-0.019474867789470468
koi_prad,0.07595328745374509,0.04357134741459185,0.0026670678279839305,1.0,0.6795583804858141,-0.0018869987828222822,-0.0015678824556732284,0.003258360326107815,-0.012505519309429334,-0.09567550736977275,0.05863778682318385
koi_impact,0.0720424141418656,0.04884568703971769,0.004361934668866086,0.6795583804858141,1.0,-0.0028266711294358668,-0.014333794724295832,-0.004561698429072826,0.019542218361608427,-0.05489716113868714,0.02236782442609395
koi_model_snr,-0.06127154057832411,0.08603586536372287,0.5716707911011657,-0.0018869987828222822,-0.0028266711294358668,1.0,0.025607850825038525,-0.011345703535582672,0.15363313908065615,-0.0526578025187491,-0.012086905279571245
koi_teq,-0.3759193795446226,-0.18736383731958378,0.06394139319949949,-0.0015678824556732284,-0.014333794724295832,0.025607850825038525,1.0,0.44092270657196764,0.24818506367535456,-0.5666942416933264,0.4839940683523026
koi_insol,-0.023063821893666063,-0.0200353200192502,-0.009211057419839543,0.003258360326107815,-0.004561698429072826,-0.011345703535582672,0.44092270657196764,1.0,-0.06399351725707532,-0.31316789458990946,0.5793286778718145
koi_steff,0.0302806823499706,0.09740696743614877,0.12270907492827673,-0.012505519309429334,0.019542218361608427,0.15363313908065615,0.24818506367535456,-0.06399351725707532,1.0,-0.13960759286711974,-0.11813293699358224
koi_slogg,-0.0420079274558143,-0.12213932928713112,-0.0110246129052546,-0.09567550736977275,-0.05489716113868714,-0.0526578025187491,-0.5666942416933264,-0.31316789458990946,-0.13960759286711974,1.0,-0.6483276798439116
koi_srad,0.0008980399278019727,0.010430279621869029,-0.019474867789470468,0.05863778682318385,0.02236782442609395,-0.012086905279571245,0.4839940683523026,0.5793286778718145,-0.11813293699358224,-0.6483276798439116,1.0
