,count,mean,std,min,25%,median,75%,max,skewness
koi_period,7587.0,51.65516497313181,111.82453046769379,0.241842544,2.2432110365,8.08801663,30.5821452,1071.232624,3.0902844141989005
koi_duration,7587.0,5.712961895347306,6.825332930095728,0.1046,2.47565,3.83661,6.2721,138.54,6.117843133406475
koi_depth,7328.0,29521.85963427948,91158.86258043454,0.8,182.75,501.5,2318.95,1541400.0,4.659958864930503
koi_prad,7328.0,104.14344159388648,3180.04977774248,0.08,1.5,2.62,24.175,200346.0,53.719567077610314
koi_impact,7328.0,0.756049877183406,3.1959539148494294,0.0,0.227,0.586,0.917,100.806,25.18268373480581
koi_model_snr,7328.0,318.5826146288209,880.9763744683397,0.0,15.4,30.5,114.95,9054.7,4.716249897994785
koi_teq,7328.0,1154.3284661572052,900.5396662624435,92.0,581.0,933.0,1482.0,14667.0,3.4757565193947144
koi_insol,7368.0,9389.97701275787,178161.42437895172,0.02,27.215,180.465,1151.5125,10947554.55,44.68425102168102
koi_steff,7328.0,5716.201282751092,819.3142060706219,2661.0,5313.0,5774.5,6117.0,15896.0,0.8785235606441169
koi_slogg,7328.0,4.310672352620088,0.43726882887373186,0.047,4.21775,4.438,4.543,5.283,-3.5152680833564878
koi_srad,7328.0,1.7529320414847163,6.278402146642575,0.116,0.829,1.0,1.347,229.908,20.42292928648134
