model,strategy,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std,cv_pr_auc_mean,cv_pr_auc_std,positive_class_count,negative_class_count
Logistic Regression,baseline,0.8283,0.0122,0.7361,0.0257,0.8226,0.0141,0.7765,0.0114,0.8963,0.011,0.7582,0.0275,2198,3871
Decision Tree,baseline,0.8952,0.0083,0.8413,0.016,0.8763,0.0082,0.8583,0.0104,0.9408,0.0072,0.876,0.0223,2198,3871
Random Forest,baseline,0.916,0.0062,0.8804,0.0152,0.889,0.0051,0.8846,0.0077,0.9717,0.0043,0.9463,0.0095,2198,3871
XGBoost,baseline,0.9287,0.0067,0.8947,0.0139,0.9104,0.0055,0.9024,0.0086,0.9768,0.0031,0.955,0.0095,2198,3871
Logistic Regression,class_weight,0.8186,0.0137,0.6906,0.0203,0.9063,0.0075,0.7837,0.013,0.8955,0.0112,0.754,0.028,2198,3871
Decision Tree,class_weight,0.8908,0.0106,0.8075,0.0189,0.9176,0.0123,0.8589,0.0127,0.9415,0.0052,0.8737,0.0146,2198,3871
Random Forest,class_weight,0.9146,0.0079,0.858,0.0154,0.9163,0.0083,0.8861,0.0099,0.9719,0.0039,0.9462,0.008,2198,3871
XGBoost,class_weight,0.9257,0.0066,0.873,0.0132,0.9304,0.0038,0.9007,0.0082,0.9767,0.0031,0.9556,0.0086,2198,3871
Logistic Regression,SMOTE,0.8194,0.0143,0.6924,0.0214,0.9045,0.0101,0.7841,0.0136,0.8962,0.0109,0.7563,0.0283,2198,3871
Decision Tree,SMOTE,0.8921,0.0097,0.8263,0.022,0.8899,0.0087,0.8567,0.0111,0.9366,0.0066,0.8569,0.0203,2198,3871
Random Forest,SMOTE,0.915,0.0074,0.8637,0.016,0.909,0.008,0.8857,0.0093,0.9714,0.0041,0.9439,0.0089,2198,3871
XGBoost,SMOTE,0.925,0.0071,0.8744,0.0151,0.9263,0.0053,0.8995,0.0088,0.9762,0.0034,0.953,0.0096,2198,3871
