feature,native_logistic_regression_rank,perm_logistic_regression_rank,shap_logistic_regression_rank,native_decision_tree_rank,perm_decision_tree_rank,shap_decision_tree_rank,native_random_forest_rank,perm_random_forest_rank,shap_random_forest_rank,native_xgboost_rank,perm_xgboost_rank,shap_xgboost_rank,mean_rank_overall,feature_description
koi_prad,1,1,1,1,1,1,1,1,1,1,1,1,1.0,Estimated planetary radius
koi_period,5,2,4,2,2,2,3,5,3,4,4,3,3.25,Orbital period of the KOI candidate
koi_model_snr,11,11,11,3,3,3,2,2,2,3,2,2,4.58,Transit model signal-to-noise ratio
koi_teq,6,3,5,5,4,4,7,8,6,2,11,10,5.92,Estimated equilibrium temperature
koi_depth,2,4,2,7,8,8,5,7,7,8,7,7,6.0,Transit depth
koi_duration,10,8,9,4,5,5,8,3,8,6,3,4,6.08,Transit duration
koi_impact,8,10,10,6,6,6,6,4,5,7,5,6,6.58,Transit impact parameter
koi_insol,7,6,6,10,11,10,4,6,4,5,8,5,6.83,Incident stellar flux / insolation
koi_slogg,3,5,3,9,7,7,11,10,11,9,10,11,8.0,Stellar surface gravity
koi_srad,4,7,7,11,9,9,10,9,10,11,6,8,8.42,Stellar radius
koi_steff,9,9,8,8,10,11,9,11,9,10,9,9,9.33,Stellar effective temperature
