case_id,actual_class,predicted_class,predicted_probability,feature,feature_value,shap_value,effect_direction
A_confirmed_correct,CONFIRMED,CONFIRMED,0.866,koi_period,0.114108,0.713343,toward_CONFIRMED
A_confirmed_correct,CONFIRMED,CONFIRMED,0.866,koi_depth,-0.598655,0.166672,toward_CONFIRMED
A_confirmed_correct,CONFIRMED,CONFIRMED,0.866,koi_prad,-0.590906,0.92966,toward_CONFIRMED
A_confirmed_correct,CONFIRMED,CONFIRMED,0.866,koi_insol,-0.27162,0.38344,toward_CONFIRMED
A_confirmed_correct,CONFIRMED,CONFIRMED,0.866,koi_duration,-0.210571,0.309538,toward_CONFIRMED
A_confirmed_correct,CONFIRMED,CONFIRMED,0.866,koi_impact,0.084336,-0.748942,toward_FALSE_POSITIVE
A_confirmed_correct,CONFIRMED,CONFIRMED,0.866,koi_model_snr,-0.331679,0.556283,toward_CONFIRMED
A_confirmed_correct,CONFIRMED,CONFIRMED,0.866,koi_teq,-0.408031,0.066344,toward_CONFIRMED
A_confirmed_correct,CONFIRMED,CONFIRMED,0.866,koi_steff,0.025123,-0.014419,toward_FALSE_POSITIVE
A_confirmed_correct,CONFIRMED,CONFIRMED,0.866,koi_slogg,0.089839,0.085978,toward_CONFIRMED
A_confirmed_correct,CONFIRMED,CONFIRMED,0.866,koi_srad,-0.10777,0.015151,toward_CONFIRMED
B_fp_correct,FALSE_POSITIVE,FALSE_POSITIVE,0.0053,koi_period,2.022657,,
B_fp_correct,FALSE_POSITIVE,FALSE_POSITIVE,0.0053,koi_depth,-0.532025,,
B_fp_correct,FALSE_POSITIVE,FALSE_POSITIVE,0.0053,koi_prad,-0.707289,,
B_fp_correct,FALSE_POSITIVE,FALSE_POSITIVE,0.0053,koi_insol,-1.69079,,
B_fp_correct,FALSE_POSITIVE,FALSE_POSITIVE,0.0053,koi_duration,0.239371,,
B_fp_correct,FALSE_POSITIVE,FALSE_POSITIVE,0.0053,koi_impact,-0.061303,,
B_fp_correct,FALSE_POSITIVE,FALSE_POSITIVE,0.0053,koi_model_snr,-0.344974,,
B_fp_correct,FALSE_POSITIVE,FALSE_POSITIVE,0.0053,koi_teq,-0.983438,,
B_fp_correct,FALSE_POSITIVE,FALSE_POSITIVE,0.0053,koi_steff,0.540019,,
B_fp_correct,FALSE_POSITIVE,FALSE_POSITIVE,0.0053,koi_slogg,0.421419,,
B_fp_correct,FALSE_POSITIVE,FALSE_POSITIVE,0.0053,koi_srad,-0.121098,,
C_fp_as_confirmed,FALSE_POSITIVE,CONFIRMED,0.6334,koi_period,0.485253,,
C_fp_as_confirmed,FALSE_POSITIVE,CONFIRMED,0.6334,koi_depth,-0.246298,,
C_fp_as_confirmed,FALSE_POSITIVE,CONFIRMED,0.6334,koi_prad,-0.586255,,
C_fp_as_confirmed,FALSE_POSITIVE,CONFIRMED,0.6334,koi_insol,-0.793847,,
C_fp_as_confirmed,FALSE_POSITIVE,CONFIRMED,0.6334,koi_duration,0.059581,,
C_fp_as_confirmed,FALSE_POSITIVE,CONFIRMED,0.6334,koi_impact,-0.036694,,
C_fp_as_confirmed,FALSE_POSITIVE,CONFIRMED,0.6334,koi_model_snr,-0.343025,,
C_fp_as_confirmed,FALSE_POSITIVE,CONFIRMED,0.6334,koi_teq,-0.665659,,
C_fp_as_confirmed,FALSE_POSITIVE,CONFIRMED,0.6334,koi_steff,-0.155279,,
C_fp_as_confirmed,FALSE_POSITIVE,CONFIRMED,0.6334,koi_slogg,0.56722,,
C_fp_as_confirmed,FALSE_POSITIVE,CONFIRMED,0.6334,koi_srad,-0.134112,,
D_confirmed_as_fp,CONFIRMED,FALSE_POSITIVE,0.0061,koi_period,0.284727,0.393018,toward_CONFIRMED
D_confirmed_as_fp,CONFIRMED,FALSE_POSITIVE,0.0061,koi_depth,-0.098622,0.263257,toward_CONFIRMED
D_confirmed_as_fp,CONFIRMED,FALSE_POSITIVE,0.0061,koi_prad,1.040806,-3.056024,toward_FALSE_POSITIVE
D_confirmed_as_fp,CONFIRMED,FALSE_POSITIVE,0.0061,koi_insol,-0.47874,0.284894,toward_CONFIRMED
D_confirmed_as_fp,CONFIRMED,FALSE_POSITIVE,0.0061,koi_duration,0.15196,-0.702266,toward_FALSE_POSITIVE
D_confirmed_as_fp,CONFIRMED,FALSE_POSITIVE,0.0061,koi_impact,0.185484,-1.054308,toward_FALSE_POSITIVE
D_confirmed_as_fp,CONFIRMED,FALSE_POSITIVE,0.0061,koi_model_snr,-0.320561,0.062286,toward_CONFIRMED
D_confirmed_as_fp,CONFIRMED,FALSE_POSITIVE,0.0061,koi_teq,-0.519254,0.022343,toward_CONFIRMED
D_confirmed_as_fp,CONFIRMED,FALSE_POSITIVE,0.0061,koi_steff,0.28445,-0.258623,toward_FALSE_POSITIVE
D_confirmed_as_fp,CONFIRMED,FALSE_POSITIVE,0.0061,koi_slogg,0.442584,-0.148597,toward_FALSE_POSITIVE
D_confirmed_as_fp,CONFIRMED,FALSE_POSITIVE,0.0061,koi_srad,-0.121882,-0.299807,toward_FALSE_POSITIVE
