threshold,precision,recall,f1,accuracy,specificity,balanced_accuracy,false_positive_rate,false_negative_rate
0.05,0.7075,0.9895,0.8251,0.8481,0.7678,0.8786,0.2322,0.0105
0.06,0.7216,0.9873,0.8338,0.8575,0.7838,0.8855,0.2162,0.0127
0.07,0.7362,0.9854,0.8428,0.8669,0.7995,0.8925,0.2005,0.0146
0.08,0.7447,0.9836,0.8477,0.872,0.8086,0.8961,0.1914,0.0164
0.09,0.7521,0.9813,0.8516,0.8761,0.8163,0.8988,0.1837,0.0187
0.1,0.7593,0.98,0.8556,0.8802,0.8236,0.9018,0.1764,0.02
0.11,0.7676,0.9795,0.8607,0.8852,0.8316,0.9055,0.1684,0.0205
0.12,0.7754,0.9786,0.8652,0.8896,0.8391,0.9088,0.1609,0.0214
0.13,0.7807,0.9768,0.8678,0.8922,0.8442,0.9105,0.1558,0.0232
0.14,0.7851,0.9759,0.8702,0.8945,0.8484,0.9121,0.1516,0.0241
0.15,0.79,0.9754,0.873,0.8972,0.8528,0.9141,0.1472,0.0246
0.16,0.7925,0.9745,0.8741,0.8983,0.8551,0.9148,0.1449,0.0255
0.17,0.7958,0.9732,0.8756,0.8998,0.8582,0.9157,0.1418,0.0268
0.18,0.8011,0.9713,0.8781,0.9023,0.8631,0.9172,0.1369,0.0287
0.19,0.8054,0.97,0.8801,0.9043,0.867,0.9185,0.133,0.03
0.2,0.8098,0.9686,0.8821,0.9062,0.8708,0.9197,0.1292,0.0314
0.21,0.8116,0.9663,0.8822,0.9066,0.8726,0.9195,0.1274,0.0337
0.22,0.8171,0.9654,0.8851,0.9092,0.8773,0.9214,0.1227,0.0346
0.23,0.8185,0.9641,0.8853,0.9095,0.8786,0.9213,0.1214,0.0359
0.24,0.8215,0.9613,0.886,0.9104,0.8814,0.9214,0.1186,0.0387
0.25,0.8233,0.9604,0.8866,0.911,0.883,0.9217,0.117,0.0396
0.26,0.8261,0.9595,0.8878,0.9122,0.8853,0.9224,0.1147,0.0405
0.27,0.8278,0.9581,0.8882,0.9127,0.8869,0.9225,0.1131,0.0419
0.28,0.8289,0.9568,0.8883,0.9128,0.8879,0.9223,0.1121,0.0432
0.29,0.8306,0.9568,0.8892,0.9137,0.8892,0.923,0.1108,0.0432
0.3,0.832,0.9554,0.8895,0.914,0.8905,0.9229,0.1095,0.0446
0.31,0.836,0.9554,0.8917,0.916,0.8936,0.9245,0.1064,0.0446
0.32,0.8375,0.954,0.892,0.9163,0.8949,0.9245,0.1051,0.046
0.33,0.8396,0.9527,0.8926,0.917,0.8967,0.9247,0.1033,0.0473
0.34,0.8416,0.9522,0.8935,0.9178,0.8982,0.9252,0.1018,0.0478
0.35,0.8441,0.9509,0.8943,0.9186,0.9003,0.9256,0.0997,0.0491
0.36,0.8467,0.95,0.8954,0.9196,0.9024,0.9262,0.0976,0.05
0.37,0.8481,0.9477,0.8951,0.9196,0.9036,0.9257,0.0964,0.0523
0.38,0.8504,0.9463,0.8958,0.9203,0.9055,0.9259,0.0945,0.0537
0.39,0.8555,0.9454,0.8982,0.9224,0.9093,0.9274,0.0907,0.0546
0.4,0.8568,0.9445,0.8985,0.9227,0.9104,0.9274,0.0896,0.0555
0.41,0.858,0.9431,0.8986,0.9229,0.9114,0.9273,0.0886,0.0569
0.42,0.8596,0.9418,0.8988,0.9232,0.9127,0.9272,0.0873,0.0582
0.43,0.8614,0.9413,0.8996,0.9239,0.914,0.9276,0.086,0.0587
0.44,0.8641,0.9399,0.9004,0.9247,0.916,0.928,0.084,0.0601
0.45,0.8654,0.939,0.9007,0.925,0.9171,0.9281,0.0829,0.061
0.46,0.8684,0.9363,0.9011,0.9255,0.9194,0.9279,0.0806,0.0637
0.47,0.8701,0.9354,0.9016,0.926,0.9207,0.928,0.0793,0.0646
0.48,0.8724,0.9331,0.9017,0.9263,0.9225,0.9278,0.0775,0.0669
0.49,0.8748,0.9318,0.9024,0.927,0.9243,0.928,0.0757,0.0682
0.5,0.878,0.9299,0.9032,0.9278,0.9266,0.9283,0.0734,0.0701
0.51,0.8801,0.9281,0.9035,0.9282,0.9282,0.9282,0.0718,0.0719
0.52,0.8805,0.9249,0.9022,0.9273,0.9287,0.9268,0.0713,0.0751
0.53,0.8822,0.9236,0.9024,0.9277,0.93,0.9268,0.07,0.0764
0.54,0.8844,0.9222,0.9029,0.9282,0.9315,0.9269,0.0685,0.0778
0.55,0.8857,0.9204,0.9027,0.9282,0.9326,0.9265,0.0674,0.0796
0.56,0.8871,0.9186,0.9025,0.9282,0.9336,0.9261,0.0664,0.0814
0.57,0.8884,0.9167,0.9024,0.9282,0.9346,0.9257,0.0654,0.0833
0.58,0.8913,0.914,0.9025,0.9285,0.9367,0.9254,0.0633,0.086
0.59,0.8938,0.9117,0.9027,0.9288,0.9385,0.9251,0.0615,0.0883
0.6,0.8973,0.9104,0.9038,0.9298,0.9408,0.9256,0.0592,0.0896
0.61,0.8999,0.9081,0.904,0.9301,0.9427,0.9254,0.0573,0.0919
0.62,0.9017,0.9054,0.9035,0.93,0.9439,0.9247,0.0561,0.0946
0.63,0.903,0.9017,0.9023,0.9293,0.945,0.9234,0.055,0.0983
0.64,0.9071,0.8976,0.9024,0.9296,0.9478,0.9227,0.0522,0.1024
0.65,0.9104,0.8972,0.9038,0.9308,0.9499,0.9235,0.0501,0.1028
0.66,0.9117,0.8926,0.9021,0.9298,0.9509,0.9218,0.0491,0.1074
0.67,0.9137,0.8913,0.9023,0.9301,0.9522,0.9217,0.0478,0.1087
0.68,0.9153,0.8894,0.9022,0.9301,0.9532,0.9213,0.0468,0.1106
0.69,0.9158,0.8854,0.9003,0.929,0.9538,0.9196,0.0462,0.1146
0.7,0.9169,0.8835,0.8999,0.9288,0.9545,0.919,0.0455,0.1165
0.71,0.9167,0.8808,0.8984,0.9278,0.9545,0.9177,0.0455,0.1192
0.72,0.9179,0.8794,0.8982,0.9278,0.9553,0.9174,0.0447,0.1206
0.73,0.9185,0.8767,0.8971,0.9272,0.9558,0.9163,0.0442,0.1233
0.74,0.9192,0.8744,0.8962,0.9267,0.9563,0.9154,0.0437,0.1256
0.75,0.9212,0.8672,0.8934,0.925,0.9579,0.9125,0.0421,0.1328
0.76,0.9241,0.8635,0.8928,0.9249,0.9597,0.9116,0.0403,0.1365
0.77,0.9272,0.8571,0.8908,0.9239,0.9618,0.9095,0.0382,0.1429
0.78,0.9266,0.8499,0.8866,0.9212,0.9618,0.9058,0.0382,0.1501
0.79,0.9309,0.8453,0.886,0.9212,0.9644,0.9048,0.0356,0.1547
0.8,0.931,0.8408,0.8836,0.9198,0.9646,0.9027,0.0354,0.1592
0.81,0.9334,0.8358,0.8819,0.9189,0.9662,0.901,0.0338,0.1642
0.82,0.9349,0.8298,0.8792,0.9174,0.9672,0.8985,0.0328,0.1702
0.83,0.9359,0.8239,0.8764,0.9158,0.968,0.8959,0.032,0.1761
0.84,0.9386,0.8139,0.8718,0.9133,0.9698,0.8918,0.0302,0.1861
0.85,0.9413,0.8025,0.8664,0.9104,0.9716,0.8871,0.0284,0.1975
0.86,0.942,0.7903,0.8595,0.9064,0.9724,0.8813,0.0276,0.2097
0.87,0.9449,0.7803,0.8547,0.9039,0.9742,0.8772,0.0258,0.2197
0.88,0.9454,0.7639,0.845,0.8985,0.9749,0.8694,0.0251,0.2361
0.89,0.9456,0.7516,0.8375,0.8944,0.9755,0.8635,0.0245,0.2484
0.9,0.9485,0.737,0.8295,0.8903,0.9773,0.8572,0.0227,0.263
0.91,0.9505,0.7166,0.8171,0.8838,0.9788,0.8477,0.0212,0.2834
0.92,0.9549,0.6934,0.8034,0.8771,0.9814,0.8374,0.0186,0.3066
0.93,0.9577,0.6688,0.7876,0.8693,0.9832,0.826,0.0168,0.3312
0.94,0.9614,0.6351,0.7649,0.8586,0.9855,0.8103,0.0145,0.3649
0.95,0.9642,0.6005,0.7401,0.8473,0.9873,0.7939,0.0127,0.3995
